,date,length,commonlength,maxder,dcar,speed,weight,load,curve,profile,type,twoways,exit,my_predict
99,4,67.0,70.0,55.0,1,31.0,6253.0,1.019251568245728,0.0014097119072021733,-0.0077,0,1.0,0.0,0.19180035036867885
100,4,61.0,63.0,18.0,1,71.5,1822.0,0.09954858636255642,0.0011507479861910242,0.001,0,1.0,0.0,0.07912540298096112
101,5,66.0,70.0,60.0,1,55.0,5519.0,0.8785682916117699,0.0,0.0109,0,1.0,0.0,0.16710127298013278
102,5,69.0,71.0,31.0,9,77.0,1763.0,0.03696702373450955,0.0015479876160990713,-0.0102,0,1.0,0.0,0.43328374097995614
103,5,82.0,84.0,36.0,4,71.0,2012.0,0.022269353128313907,0.000966183574879227,-0.007,0,1.0,1.0,0.07216195872415618
104,5,74.0,76.0,19.0,1,62.0,2523.0,0.16079122600861734,0.0017035775127768314,-0.0001,0,1.0,0.0,0.04963636371030461
105,5,69.0,71.0,2.0,1,22.0,6294.0,0.9886578449905483,0.002352941176470588,-0.002,0,1.0,0.0,0.1772317288570423
106,6,68.0,71.0,22.0,1,75.0,6082.0,0.962915601023018,0.0,1.4663793103448243e-05,0,1.0,0.0,0.1758294322894487
108,6,65.0,68.0,28.0,2,32.0,2458.0,0.2147157190635452,0.0035714285714285713,0.005,0,1.0,0.0,0.10434193081641556
109,6,67.0,69.0,19.0,1,73.0,2060.0,0.11226476314081768,0.000856898029134533,0.0011,0,1.0,0.0,0.062385848586771896
110,9,51.0,53.0,38.0,1,73.0,2671.0,0.4256891162262006,0.0009208103130755065,1.4663793103448243e-05,0,1.0,0.0,0.16106534949627258
111,9,77.0,79.0,3.0,1,73.0,3833.0,0.3881046489742142,0.001176470588235294,-0.0054,0,1.0,0.0,0.0618747318043639
114,9,53.0,55.0,53.0,4,32.0,1433.0,0.05851791085589281,0.003355704697986577,-0.0089,0,1.0,1.0,0.24145138154558865
115,10,71.0,75.0,12.0,1,48.0,2037.0,0.08246580934884673,0.0008613264427217916,0.0106,0,1.0,0.0,0.05042300767996167
116,12,68.13375796178345,70.8407643312102,34.51923076923077,1,49.0,4419.3057324840765,0.6265079219461774,0.0005205622071837585,-0.0029,0,1.0,0.0,0.11340408820982582
117,12,65.0,67.0,9.0,1,50.380132450331125,4091.0,0.5788182831661093,0.0,0.0002,0,1.0,0.0,0.1208139241057117
119,1,66.0,68.0,67.0,1,22.0,5795.0,0.9391743522178306,0.0,0.0068,0,1.0,0.0,0.17907791767458903
120,2,68.0,70.0,13.0,2,68.0,5778.0,0.8981244671781756,0.0009930486593843098,0.0007,0,1.0,1.0,0.21299822817557576
121,2,62.0,64.0,44.0,22,66.0,5785.0,1.0189340813464236,0.0,-0.0019,0,1.0,1.0,0.9964075719141392
122,2,68.13375796178345,70.8407643312102,34.51923076923077,2,71.0,4419.3057324840765,0.6265079219461774,0.0009900990099009901,0.01,0,1.0,0.0,0.15105905141340775
123,3,72.0,75.0,50.0,1,78.0,1888.0,0.04669887278582935,0.0,1e-06,0,1.0,0.0,0.04585174059092188
125,3,67.0,70.0,50.0,1,30.0,5877.0,0.9379191001514169,0.0015313935681470138,0.0014,0,1.0,0.0,0.174741811531015
128,5,111.0,114.0,58.0,1,64.0,3006.0,0.05914610262436354,0.0015479876160990713,-0.0102,0,1.0,0.0,0.007941906579513347
129,6,65.0,67.0,10.0,1,76.0,4162.0,0.594648829431438,0.0010845986984815619,-0.0072,0,1.0,0.0,0.12311982744440221
130,6,74.0,76.0,27.0,1,57.0,3029.0,0.2598903251077164,0.0,0.0033,0,1.0,0.0,0.05739651300144841
131,6,69.0,72.0,10.0,1,71.0,5055.0,0.7284183994959044,0.0009433962264150943,-0.0046,0,1.0,0.0,0.12887098158337693
132,6,85.0,89.0,46.0,1,75.0,2176.0,0.03768115942028988,0.0009433962264150943,-0.0086,0,1.0,0.0,0.02512389677569428
